2025-10-02 19:28:09,ls,,Команда 'ls' с аргументами: []
2025-10-02 19:28:09,cd,/home,Команда 'cd' с аргументами: ['/home']
2025-10-02 19:28:09,ls,,Команда 'ls' с аргументами: []
2025-10-02 19:28:09,cdd,,Ошибка: неизвестная команда 'cdd'
2025-10-02 19:28:11,exit,,Выход из эмулятора
2025-10-02 19:58:29,ls,,/
2025-10-02 19:58:29,cd,/home,Ошибка: директория '/home' не найдена.
2025-10-02 19:58:29,ls,,/
2025-10-02 19:58:29,cdd,,Ошибка: неизвестная команда 'cdd'
2025-10-02 19:58:35,ды,,Ошибка: неизвестная команда 'ды'
2025-10-02 19:58:37,ls,,/
2025-10-02 19:58:47,cd,/,Ошибка: директория '/' не найдена.
2025-10-02 19:59:20,ls,,/
2025-10-02 19:59:24,cd,/,Ошибка: директория '/' не найдена.
2025-10-02 20:00:21,ls,,/
2025-10-02 20:00:21,cd,/home,Ошибка: директория '/home' не найдена.
2025-10-02 20:00:21,ls,,/
2025-10-02 20:00:21,cdd,,Ошибка: неизвестная команда 'cdd'
2025-10-02 20:00:35,ls,,/
2025-10-02 20:00:35,cd,/,Ошибка: директория '/' не найдена.
2025-10-02 20:00:35,ls,,/
2025-10-02 20:00:35,cdd,,Ошибка: неизвестная команда 'cdd'
2025-10-02 20:42:14,ls,,/
2025-10-02 20:42:14,cd,/,Ошибка: директория '/' не найдена.
2025-10-02 20:42:14,ls,,/
2025-10-02 20:42:14,cdd,,Ошибка: неизвестная команда 'cdd'
2025-10-02 20:42:32,ls,,readme.txt
2025-10-02 20:42:32,cd,/,Текущая директория: /
2025-10-02 20:42:32,ls,,readme.txt
2025-10-02 20:42:32,cdd,,Ошибка: неизвестная команда 'cdd'
2025-10-02 20:43:18,ls,,readme.txt
2025-10-02 20:43:21,cd,/,Текущая директория: /
2025-10-02 20:43:25,ls,,readme.txt
2025-10-02 20:43:34,cd,nonexistent,Ошибка: директория 'nonexistent' не найдена.
2025-10-02 20:43:38,cd,..,Текущая директория: /
2025-10-02 20:43:42,ls,,readme.txt
2025-10-02 20:43:50,exit,,Выход из эмулятора
2025-10-02 21:15:12,ls,,readme.txt dirA/
2025-10-02 21:15:12,tree,/,tree
2025-10-02 21:15:12,cd,/,Текущая директория: /
2025-10-02 21:15:12,ls,,readme.txt dirA/
2025-10-02 21:15:12,cd,dirA,Текущая директория: /dirA
2025-10-02 21:15:12,ls,,a.txt b.txt
2025-10-02 21:15:12,echo,Hello VFS > new.txt,echo
2025-10-02 21:15:12,ls,,a.txt b.txt new.txt
2025-10-02 21:15:12,wc,new.txt,wc
2025-10-02 21:15:12,wc,Hello world,wc
2025-10-02 21:15:12,tree,/,tree
2025-10-02 21:15:12,cd,/nope,Ошибка: директория '/nope' не найдена.
2025-10-02 21:15:12,echo,test,echo
2025-10-02 21:15:12,exit,,Выход из эмулятора
2025-10-02 21:17:23,wc,test,wc
2025-10-02 21:17:40,wc,Hello World,wc
2025-10-02 21:18:13,exit,,Выход из эмулятора
2025-10-03 12:58:12,ls,,etc/ home/
2025-10-03 12:58:12,tree,/,tree
2025-10-03 12:58:12,cd,/,Текущая директория: /
2025-10-03 12:58:12,ls,,etc/ home/
2025-10-03 12:58:12,cd,dirA,Ошибка: директория 'dirA' не найдена.
2025-10-03 12:58:12,ls,,etc/ home/
2025-10-03 12:58:12,echo,Hello VFS > new.txt,echo
2025-10-03 12:58:12,ls,,etc/ home/ new.txt
2025-10-03 12:58:12,wc,new.txt,wc
2025-10-03 12:58:12,wc,Hello world,wc
2025-10-03 12:58:12,tree,/,tree
2025-10-03 12:58:12,cd,/nope,Ошибка: директория '/nope' не найдена.
2025-10-03 12:58:12,echo,test,echo
2025-10-03 12:58:12,exit,,Выход из эмулятора
